,Case Number,Year,Type,Country,Types,Decade
0,2018.06.08,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
1,2018.06.03.b,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
2,2018.05.24,2018,Provoked,AUSTRALIA,Provoked,2010.0
3,2018.05.00,2018,Provoked,AUSTRALIA,Provoked,2010.0
4,2018.04.28.a,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
5,2018.04.25.a,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
6,2018.04.24,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
7,2018.04.15.b,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
8,2018.04.15.a,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
9,2018.03.14,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
10,2018.03.09.b,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
11,2018.03.09.a,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
12,2018.02.23,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
13,2018.02.17,2018,Provoked,AUSTRALIA,Provoked,2010.0
14,2018.02.15,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
15,2018.01.28,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
16,2018.01.14,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
17,2018.01.13,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
18,2018.01.05,2018,Unprovoked,AUSTRALIA,Unprovoked,2010.0
19,2017.11.13,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
20,2017.10.31.R,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
21,2017.10.28,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
22,2017.10.22,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
23,2017.09.25.a,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
24,2017.09.14,2017,Boating,AUSTRALIA,Boating,2010.0
25,2017.09.10.b,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
26,2017.09.10.a,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
27,2017.08.29,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
28,2017.07.14.a,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
29,2017.06.11,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
30,2017.06.10.b,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
31,2017.05.06.R,2017,Provoked,AUSTRALIA,Provoked,2010.0
32,2017.04.17.a,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
33,2017.04.02.b,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
34,2017.03.19,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
35,2017.02.25,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
36,2017.02.24,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
37,2017.02.17,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
38,2017.01.21,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
39,2017.01.13.b,2017,Unprovoked,AUSTRALIA,Unprovoked,2010.0
40,2016.12.24,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
41,2016.12.14,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
42,2016.12.06,2016,Provoked,AUSTRALIA,Provoked,2010.0
43,2016.12.01,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
44,2016.11.28,2016,Provoked,AUSTRALIA,Provoked,2010.0
45,2016.10.24,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
46,2016.10.15,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
47,2016.10.12,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
48,2016.09.26,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
49,2016.09.17.a,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
50,2016.09.15,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
51,2016.09.15.R,2016,Boating,AUSTRALIA,Boating,2010.0
52,2016.09.05.a,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
53,2016.07.28,2016,Boating,AUSTRALIA,Boating,2010.0
54,2016.07.26,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
55,2016.07.23.b,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
56,2016.07.20,2016,Provoked,AUSTRALIA,Provoked,2010.0
57,2016.07.04,2016,Provoked,AUSTRALIA,Provoked,2010.0
58,2016.06.15.a,2016,Provoked,AUSTRALIA,Provoked,2010.0
59,2016.06.05.a,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
60,2016.06.02.b,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
61,2016.05.31,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
62,2016.04.19,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
63,2016.03.30,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
64,2016.03.28.a,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
65,2016.03.03.R,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
66,2016.02.05,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
67,2016.02.04,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
68,2016.01.11.R,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
69,2016.01.05,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
70,2016.01.02,2016,Unprovoked,AUSTRALIA,Unprovoked,2010.0
71,2015.12.21.b,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
72,2015.12.13,2015,Boating,AUSTRALIA,Boating,2010.0
73,2015.11.10,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
74,2015.10.30,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
75,2015.10.07,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
76,2015.09.26,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
77,2015.09.08,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
78,2015.09.04,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
79,2015.08.22.a,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
80,2015.07.31,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
81,2015.07.25,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
82,2015.07.23.a,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
83,2015.07.03,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
84,2015.07.02,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
85,2015.06.30.b,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
86,2015.06.25.R,2015,Provoked,AUSTRALIA,Provoked,2010.0
87,2015.05.03,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
88,2015.04.25,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
89,2015.04.24.c,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
90,2015.04.11,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
91,2015.03.11,2015,Boating,AUSTRALIA,Boating,2010.0
92,2015.02.09,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
93,2015.02.08,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
94,2015.02.05,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
95,2015.01.30,2015,Boating,AUSTRALIA,Boating,2010.0
96,2015.01.24,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
97,2015.01.17,2015,Boating,AUSTRALIA,Boating,2010.0
98,2015.01.16,2015,Unprovoked,AUSTRALIA,Unprovoked,2010.0
99,2014.12.29.b,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
100,2014.12.29.a,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
101,2014.12.28.a,2014,Provoked,AUSTRALIA,Provoked,2010.0
102,2014.12.15,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
103,2014.11.29,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
104,2014.11.19,2014,Boating,AUSTRALIA,Boating,2010.0
105,2014.11.10,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
106,2014.10.30,2014,Provoked,AUSTRALIA,Provoked,2010.0
107,2014.10.17,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
108,2014.10.11,2014,Boating,AUSTRALIA,Boating,2010.0
109,2014.10.02.a,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
110,2014.09.09,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
111,2014.08.16,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
112,2014.06.18.b,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
113,2014.06.18.a,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
114,2014.06.17.R,2014,Provoked,AUSTRALIA,Provoked,2010.0
115,2014.06.09.a,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
116,2014.06.01.b,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
117,2014.05.27.R,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
118,2014.05.22,2014,Provoked,AUSTRALIA,Provoked,2010.0
119,2014.05.14,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
120,2014.04.24,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
121,2014.04.03,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
122,2014.03.18.b,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
123,2014.03.12,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
124,2014.02.08,2014,Unprovoked,AUSTRALIA,Unprovoked,2010.0
125,2014.01.26,2014,Provoked,AUSTRALIA,Provoked,2010.0
126,2013.12.05,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
127,2013.11.30,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
128,2013.11.23.a,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
129,2013.11.12,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
130,2013.10.28,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
131,2013.10.26.a,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
132,2013.10.24,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
133,2013.10.08,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
134,2013.08.25,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
135,2013.07.02,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
136,2013.06.06.a,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
137,2013.04.28,2013,Provoked,AUSTRALIA,Provoked,2010.0
138,2013.04.21,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
139,2013.03.10.b,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
140,2013.01.26,2013,Boat,AUSTRALIA,Boating,2010.0
141,2013.01.25,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
142,2013.01.05,2013,Unprovoked,AUSTRALIA,Unprovoked,2010.0
143,2012.12.30,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
144,2012.12.28,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
145,2012.12.19,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
146,2012.12.02,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
147,2012.10.02,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
148,2012.08.28,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
149,2012.08.11,2012,Boating,AUSTRALIA,Boating,2010.0
150,2012.07.31.a,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
151,2012.07.14,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
152,2012.06.22.b,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
153,2012.06.20,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
154,2012.06.12,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
155,2012.06.03,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
156,2012.04.11,2012,Boating,AUSTRALIA,Boating,2010.0
157,2012.03.31,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
158,2012.03.22,2012,Boating,AUSTRALIA,Boating,2010.0
159,2012.03.20,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
160,2012.03.06.a,2012,Provoked,AUSTRALIA,Provoked,2010.0
161,2012.02.25,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
162,2012.02.06,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
163,2012.01.19,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
164,2012.01.18.a,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
165,2012.01.03,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
166,2012.01.02,2012,Unprovoked,AUSTRALIA,Unprovoked,2010.0
167,2011.12.11,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
168,2011.12.07.a,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
169,2011.12.02,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
170,2011.11.28,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
171,2011.10.22,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
172,2011.10.19,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
173,2011.10.09,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
174,2011.09.04.a,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
175,2011.04.23,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
176,2011.03.23,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
177,2011.03.16,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
178,2011.03.10,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
179,2011.02.28.R,2011,Provoked,AUSTRALIA,Provoked,2010.0
180,2011.02.17,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
181,2011.02.13,2011,Provoked,AUSTRALIA,Provoked,2010.0
182,2011.02.12,2011,Unprovoked,AUSTRALIA,Unprovoked,2010.0
183,2011.01.03,2011,Boat,AUSTRALIA,Boating,2010.0
184,2010.11.12.R,2010,Boat,AUSTRALIA,Boating,2000.0
185,2010.10.30,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
186,2010.10.28.R,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
187,2010.10.23.a,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
188,2010.10.09,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
189,2010.09.13,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
190,2010.08.17,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
191,2010.08.10.b,2010,Provoked,AUSTRALIA,Provoked,2000.0
192,2010.08.08,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
193,2010.06.06,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
194,2010.05.18.a,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
195,2010.02.13,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
196,2010.02.11,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
197,2010.02.06.b,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
198,2010.01.27,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
199,2010.01.22.a,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
200,2010.01.09.d,2010,Unprovoked,AUSTRALIA,Unprovoked,2000.0
201,2009.12.26,2009,Provoked,AUSTRALIA,Provoked,2000.0
202,2009.12.20.b,2009,Boating,AUSTRALIA,Boating,2000.0
203,2009.12.20.a,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
204,2009.12.13,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
205,2009.12.12,2009,Boating,AUSTRALIA,Boating,2000.0
206,2009.11.08,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
207,2009.10.30,2009,Boating,AUSTRALIA,Boating,2000.0
208,2009.10.28,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
209,2009.10.14.R,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
210,2009.07.30,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
211,2009.06.27,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
212,2009.04.12,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
213,2009.03.20,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
214,2009.03.19.b,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
215,2009.03.19.a,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
216,2009.03.16.R,2009,Provoked,AUSTRALIA,Provoked,2000.0
217,2009.03.01.a,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
218,2009.02.22,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
219,2009.02.18,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
220,2009.02.12,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
221,2009.02.11,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
222,2009.02.07.b,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
223,2009.02.07.a,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
224,2009.01.24.b,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
225,2009.01.18,2009,Boat,AUSTRALIA,Boating,2000.0
226,2009.01.12,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
227,2009.01.11.b,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
228,2009.01.11.a,2009,Unprovoked,AUSTRALIA,Unprovoked,2000.0
229,2008.12.27.d,2008,Boating,AUSTRALIA,Boating,2000.0
230,2008.12.27.c,2008,Unprovoked,AUSTRALIA,Unprovoked,2000.0
231,2008.12.27.b,2008,Boating,AUSTRALIA,Boating,2000.0
232,2008.12.27.a,2008,Unprovoked,AUSTRALIA,Unprovoked,2000.0
233,2008.12.06,2006,Boating,AUSTRALIA,Boating,2000.0
234,2008.11.09.b,2008,Boating,AUSTRALIA,Boating,2000.0
235,2008.10.22,2008,Provoked,AUSTRALIA,Provoked,2000.0
236,2008.10.12,2008,Provoked,AUSTRALIA,Provoked,2000.0
237,2008.10.11,2008,Unprovoked,AUSTRALIA,Unprovoked,2000.0
238,2008.09.15,2008,Provoked,AUSTRALIA,Provoked,2000.0
239,2008.09.07,2008,Unprovoked,AUSTRALIA,Unprovoked,2000.0
240,2008.08.30.c,2008,Unprovoked,AUSTRALIA,Unprovoked,2000.0
241,2008.07.30.R,2008,Unprovoked,AUSTRALIA,Unprovoked,2000.0
242,2008.05.10,2008,Unprovoked,AUSTRALIA,Unprovoked,2000.0
243,2008.04.20.a,2008,Unprovoked,AUSTRALIA,Unprovoked,2000.0
244,2008.04.08,2008,Unprovoked,AUSTRALIA,Unprovoked,2000.0
245,2008.02.07,2008,Unprovoked,AUSTRALIA,Unprovoked,2000.0
246,2008.01.27,2008,Provoked,AUSTRALIA,Provoked,2000.0
247,2007.12.18,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
248,2007.12.15,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
249,2007.11.18,2007,Provoked,AUSTRALIA,Provoked,2000.0
250,2007.11.08,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
251,2007.10.15,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
252,2007.10.13,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
253,2007.07.19.a,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
254,2007.06.05,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
255,2007.05.16,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
256,2007.05.12,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
257,2007.04.26,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
258,2007.03.20,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
259,2007.03.12,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
260,2007.02.03,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
261,2007.01.23,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
262,2007.01.09,2007,Unprovoked,AUSTRALIA,Unprovoked,2000.0
263,2006.12.18,2006,Unprovoked,AUSTRALIA,Unprovoked,2000.0
264,2006.12.02,2006,Unprovoked,AUSTRALIA,Unprovoked,2000.0
265,2006.08.29.a,2006,Unprovoked,AUSTRALIA,Unprovoked,2000.0
266,2006.06.05,2006,Unprovoked,AUSTRALIA,Unprovoked,2000.0
267,2006.05.02,2006,Provoked,AUSTRALIA,Provoked,2000.0
268,2006.04.11,2006,Unprovoked,AUSTRALIA,Unprovoked,2000.0
269,2006.03.15,2006,Unprovoked,AUSTRALIA,Unprovoked,2000.0
270,2006.02.13,2006,Unprovoked,AUSTRALIA,Unprovoked,2000.0
271,2006.02.12.b,2006,Unprovoked,AUSTRALIA,Unprovoked,2000.0
272,2006.02.12.a,2006,Boating,AUSTRALIA,Boating,2000.0
273,2006.01.15,2006,Unprovoked,AUSTRALIA,Unprovoked,2000.0
274,2006.01.07,2006,Unprovoked,AUSTRALIA,Unprovoked,2000.0
275,2005.12.11,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
276,2005.12.05.R,2005,Boat,AUSTRALIA,Boating,2000.0
277,2005.11.25.c,2005,Boat,AUSTRALIA,Boating,2000.0
278,2005.11.25.b,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
279,2005.09.27.R,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
280,2005.09.24,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
281,2005.09.23,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
282,2005.09.07,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
283,2005.09.04.a,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
284,2005.08.24.b,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
285,2005.05.15,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
286,2005.04.25,2005,Provoked,AUSTRALIA,Provoked,2000.0
287,2005.04.17.R,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
288,2005.04.16.b,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
289,2005.04.16.a,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
290,2005.03.27.R,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
291,2005.03.19,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
292,2005.02.26,2005,Unprovoked,AUSTRALIA,Unprovoked,2000.0
293,2005.01.19,2005,Provoked,AUSTRALIA,Provoked,2000.0
294,2005.01.14,2005,Provoked,AUSTRALIA,Provoked,2000.0
295,2004.12.16,2004,Unprovoked,AUSTRALIA,Unprovoked,2000.0
